asset_id,case_id,file_name,source_path,title
016,newobj_006,0ed37dbddd4f318a7017556f76438b8c.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0ed37dbddd4f318a7017556f76438b8c.jpg,Две бутылки Aesop на черном подиуме
017,newobj_007,0f502d8742d45d4012eecb86dc2a4b98.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0f502d8742d45d4012eecb86dc2a4b98.jpg,Смятая голубая алюминиевая туба
018,newobj_008,0f6c1ed6fd8655f1440f2b461567ebc3.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0f6c1ed6fd8655f1440f2b461567ebc3.jpg,Ломтики огурца с каплями без продукта
019,newobj_009,1aa92ea8-e3f8-498c-864d-b213f5538ddb.JPEG,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1aa92ea8-e3f8-498c-864d-b213f5538ddb.JPEG,Янтарный флакон-пипетка в руке
020,newobj_010,1af2a1b974e938c08d315d1fdc69c709.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1af2a1b974e938c08d315d1fdc69c709.jpg,Зеленая помпа на плитке с пеной
021,newobj_011,1bab4255b7d901ace043eebf5ac7437f.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1bab4255b7d901ace043eebf5ac7437f.webp,Розовый компакт с красным сердцем
022,newobj_012,1c15fe561ab436dadef0a9d175c46ea1 (1).jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1c15fe561ab436dadef0a9d175c46ea1 (1).jpg,Бордовый тюбик на подносе с кофе и шоколадом
023,newobj_013,1c7e0bd9-6443-41e7-804e-43ac4cc7767d.JPEG,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1c7e0bd9-6443-41e7-804e-43ac4cc7767d.JPEG,Парфюм между руками
024,newobj_014,1d5ff4ef-a62c-4401-8d85-c882d7b6997d.JPEG,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1d5ff4ef-a62c-4401-8d85-c882d7b6997d.JPEG,Зеленая бутылка со всплеском на льду
025,newobj_015,1e058e707e123fd38c2126e613183726.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/1e058e707e123fd38c2126e613183726.jpg,Две солнцезащитные упаковки на керамическом подиуме
026,newobj_016,2dd889cbfe7f60e37621161e713b8a85.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/2dd889cbfe7f60e37621161e713b8a85.webp,Флакон парфюма на золотом отражении
027,newobj_017,2ea69a241c2ff6613989a6e5afcc9a3a.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/2ea69a241c2ff6613989a6e5afcc9a3a.webp,Белый тюбик в бежевой сумке
